participant,condition,investment,investment_return,multiplier,return
666,fair,5,15,1.3,6.5
666,fair,5,15,1.3,6.5
666,fair,5,15,1.3,6.5
666,fair,4,12,1.4000000000000001,5.6000000000000005
666,fair,4,12,1.3,5.2
666,unfair,5,15,0.19999999999999998,0.9999999999999999
666,unfair,4,12,0.4,1.6
666,unfair,6,18,0.19999999999999998,1.2
666,unfair,3,9,0.4,1.2000000000000002
666,unfair,3,9,0.3,0.8999999999999999
666,fair,1,3,1.4000000000000001,1.4000000000000001
666,fair,1,3,1.3,1.3
666,fair,2,6,1.2,2.4
666,fair,3,9,1.2,3.5999999999999996
666,fair,3,9,1.3,3.9000000000000004
666,unfair,4,12,0.19999999999999998,0.7999999999999999
666,unfair,1,3,0.4,0.4
666,unfair,1,3,0.3,0.3
